Ticker,Name,Sector,Industry,Price,Collection
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services,NA,stocks/acmp
ACN,Accenture plc,Technology,Information Technology Services,WIKI/ACN,stocks/acn
ACNB,ACNB Corp.,Financial,Regional - Southwest Banks,NA,stocks/acnb
ACO,AMCOL International Corporation,Basic Materials,Industrial Metals & Minerals,WIKI/ACO,stocks/aco
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/ACOR,stocks/acor
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery,NA,stocks/acpw
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,NA,NA
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ACRX,stocks/acrx
ACTG,Acacia Research Corporation,Services,Business Services,WIKI/ACTG,stocks/actg
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories,NA,stocks/acu
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery,NA,stocks/acur
ACW,Accuride Corp.,Consumer Goods,Auto Parts,WIKI/ACW,stocks/acw
ACXM,Acxiom Corporation,Technology,Information Technology Services,WIKI/ACXM,stocks/acxm
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,NA,stocks/acy
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services,NA,stocks/adat
ADBE,Adobe Systems Inc.,Technology,Application Software,WIKI/ADBE,stocks/adbe
ADC,Agree Realty Corp.,Financial,Property Management,NA,stocks/adc
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery,NA,stocks/adep
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/ADES,stocks/ades
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADI,stocks/adi
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,NA,stocks/adk
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,WIKI/ADM,stocks/adm
ADNC,"Audience, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADNC,stocks/adnc
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,WIKI/ADP,stocks/adp
ADS,Alliance Data Systems Corporation,Services,Business Services,WIKI/ADS,stocks/ads
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,WIKI/ADSK,stocks/adsk
ADT,The ADT Corporation,Services,Security & Protection Services,WIKI/ADT,stocks/adt
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,WIKI/ADUS,stocks/adus
ADTN,ADTRAN Inc.,Technology,Communication Equipment,WIKI/ADTN,stocks/adtn
ADVS,"Advent Software, Inc.",Technology,Application Software,WIKI/ADVS,stocks/advs
AE,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,WIKI/AE,stocks/ae
AEC,Associated Estates Realty Corporation,Financial,REIT - Residential,NA,stocks/aec
AEE,Ameren Corporation,Utilities,Diversified Utilities,WIKI/AEE,stocks/aee
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,WIKI/AEGN,stocks/aegn
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AEGR,stocks/aegr
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,NA,stocks/aehr
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,WIKI/AEIS,stocks/aeis
AEL,American Equity Investment Life Holding Co.,Financial,Life Insurance,WIKI/AEL,stocks/ael
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,WIKI/AEO,stocks/aeo
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,WIKI/AEP,stocks/aep
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,WIKI/AEPI,stocks/aepi
AERG,"Applied Energetics, Inc.",Technology,Scientific & Technical Instruments,NA,stocks/aerg
AES,The AES Corporation,Utilities,Electric Utilities,WIKI/AES,stocks/aes
AET,Aetna Inc.,Healthcare,Health Care Plans,WIKI/AET,stocks/aet
AERT,"Advanced Environmental Recycling Technologies, Inc.",Industrial Goods,"Lumber, Wood Production",NA,stocks/aert
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,NA,stocks/aeti
AF,Astoria Financial Corporation,Financial,Savings & Loans,WIKI/AF,stocks/af
AEY,ADDvantage Technologies Group Inc.,Services,Electronics Wholesale,NA,stocks/aey
AFA,American Financial Group Inc.,,,NA,NA
AFAM,Almost Family Inc.,Healthcare,Home Health Care,WIKI/AFAM,stocks/afam
AFCB,Athens Bancshares Corporation,Financial,Regional - Southeast Banks,NA,stocks/afcb
AFCE,AFC Enterprises Inc.,,,NA,stocks/afce
AFFM,Affirmative Insurance Holdings Inc.,Financial,Property & Casualty Insurance,NA,stocks/affm
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,WIKI/AFFX,stocks/affx
AFFY,"Affymax, Inc.",Healthcare,Biotechnology,NA,stocks/affy
AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,NA,stocks/afh
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance,WIKI/AFG,stocks/afg
AFL,AFLAC Inc.,Financial,Accident & Health Insurance,WIKI/AFL,stocks/afl
AFM,Affiliated Managers Group Inc.,,,NA,NA
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics,WIKI/AFOP,stocks/afop
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,WIKI/AFSI,stocks/afsi
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,WIKI/AGCO,stocks/agco
AGEN,Agenus Inc.,Healthcare,Biotechnology,NA,stocks/agen
AGII,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance,WIKI/AGII,stocks/agii
AGIIL,Argo Group International Holdin,,,NA,NA
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services,WIKI/AGM,stocks/agm
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,WIKI/AGN,stocks/agn
AGNC,American Capital Agency Corp.,Financial,REIT - Residential,NA,NA
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,WIKI/AGO,stocks/ago
AGNCP,American Capital Agency Corp.,,,NA,NA
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,WIKI/AGX,stocks/agx
AGYS,Agilysys Inc.,Technology,Application Software,WIKI/AGYS,stocks/agys
AHC,A. H. Belo Corporation,Services,Publishing - Newspapers,WIKI/AHC,stocks/ahc
AHGP,"Alliance Holdings GP, L.P.",Basic Materials,Nonmetallic Mineral Mining,NA,stocks/ahgp
AHL,Aspen Insurance Holdings Ltd.,Financial,Property & Casualty Insurance,WIKI/AHL,stocks/ahl
AHPI,Allied Healthcare Products Inc.,Healthcare,Medical Appliances & Equipment,NA,stocks/ahpi
AHS,AMN Healthcare Services Inc.,Healthcare,Specialized Health Services,WIKI/AHS,stocks/ahs
AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,NA,NA
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,WIKI/AI,stocks/ai
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,WIKI/AIG,stocks/aig
AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AIMC,stocks/aimc
AIQ,"Alliance Healthcare Services, Inc.",Healthcare,Medical Laboratories & Research,WIKI/AIQ,stocks/aiq
AIR,AAR Corp.,Services,Major Airlines,WIKI/AIR,stocks/air
AIRM,Air Methods Corp.,Healthcare,Specialized Health Services,WIKI/AIRM,stocks/airm
AIRT,Air T Inc.,Services,Air Delivery & Freight Services,NA,stocks/airt
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,WIKI/AIT,stocks/ait
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,WIKI/AIV,stocks/aiv
AIZ,Assurant Inc.,Financial,Accident & Health Insurance,WIKI/AIZ,stocks/aiz
AJG,Arthur J Gallagher & Co.,Financial,Insurance Brokers,WIKI/AJG,stocks/ajg
AKR,Acadia Realty Trust,Financial,Property Management,NA,stocks/akr
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,WIKI/AKAM,stocks/akam
AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,WIKI/AKRX,stocks/akrx
AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,WIKI/AKS,stocks/aks
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,WIKI/ALB,stocks/alb
ALCO,Alico Inc.,Consumer Goods,Farm Products,WIKI/ALCO,stocks/alco
ALCS,"ALCO Stores, Inc.",Services,"Discount, Variety Stores",NA,stocks/alcs
ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,WIKI/ALE,stocks/ale
ALGT,Allegiant Travel Company,Services,Regional Airlines,WIKI/ALGT,stocks/algt
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,WIKI/ALIM,stocks/alim
ALGN,Align Technology Inc.,Healthcare,Medical Appliances & Equipment,WIKI/ALGN,stocks/algn
ALJ,"Alon USA Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/ALJ,stocks/alj
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,WIKI/ALK,stocks/alk
ALKS,Alkermes plc,Healthcare,Drug Delivery,WIKI/ALKS,stocks/alks
ALL,The Allstate Corporation,,,WIKI/ALL,stocks/all
ALG,"Alamo Group, Inc.",Industrial Goods,Farm & Construction Machinery,WIKI/ALG,stocks/alg
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,WIKI/ALEX,stocks/alex
ALLB,Alliance Bancorp Inc of Pennsylvania,Financial,Money Center Banks,NA,stocks/allb
ALOG,Analogic Corporation,Technology,Scientific & Technical Instruments,WIKI/ALOG,stocks/alog
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALNY,stocks/alny
ALR,Alere Inc.,Healthcare,Medical Laboratories & Research,WIKI/ALR,stocks/alr
ALOT,"Astro-Med, Inc.",Technology,Computer Peripherals,NA,stocks/alot
ALSE,"Alseres Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/alse
ALSK,Alaska Communications Systems Group Inc.,Technology,Telecom Services - Domestic,NA,stocks/alsk
ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,WIKI/ALSN,stocks/alsn
ALTI,"Altair Nanotechnologies, Inc.",Technology,Diversified Electronics,NA,stocks/alti
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts,NA,stocks/alv
ALTR,Altera Corp.,Technology,Semiconductor - Specialized,WIKI/ALTR,stocks/altr
ALXA,Alexza Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other,NA,stocks/alxa
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALXN,stocks/alxn
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Diagnostic Substances,WIKI/AMAG,stocks/amag
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMAT,stocks/amat
ALX,Alexander's Inc.,Financial,REIT - Retail,NA,stocks/alx
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMBA,stocks/amba
AMBT,Ambient Corporation,Technology,Communication Equipment,NA,stocks/ambt
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductor - Integrated Circuits,WIKI/AMCC,stocks/amcc
AMCF,Andatee China Marine Fuel Services Corporation,Basic Materials,Oil & Gas Equipment & Services,NA,stocks/amcf
AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,WIKI/AMCX,stocks/amcx
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,WIKI/AMD,stocks/amd
AME,Ametek Inc.,Industrial Goods,Diversified Machinery,WIKI/AME,stocks/ame
AMED,Amedisys Inc.,Healthcare,Home Health Care,WIKI/AMED,stocks/amed
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,WIKI/AMG,stocks/amg
AMGN,Amgen Inc.,Healthcare,Biotechnology,WIKI/AMGN,stocks/amgn
AMIC,American Independence Corp.,Financial,Accident & Health Insurance,NA,stocks/amic
AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,NA,stocks/amid
AMIN,American International Industries Inc.,Services,Business Services,NA,stocks/amin
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/AMKR,stocks/amkr
AMNB,American National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks,WIKI/AMNB,stocks/amnb
AMOT,Allied Motion Technologies Inc.,Industrial Goods,Industrial Electrical Equipment,NA,stocks/amot
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,WIKI/AMP,stocks/amp
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AMPE,stocks/ampe
AMRB,American River Bankshares,Financial,Regional - Pacific Banks,NA,stocks/amrb
AMRC,"Ameresco, Inc.",Services,Technical Services,WIKI/AMRC,stocks/amrc
AMRE,"AmREIT, Inc.",Financial,Property Management,NA,stocks/amre
AMRI,Albany Molecular Research Inc.,Healthcare,Biotechnology,WIKI/AMRI,stocks/amri
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,WIKI/AMRS,stocks/amrs
AMSC,American Superconductor Corporation,Technology,Diversified Electronics,WIKI/AMSC,stocks/amsc
AMSF,"Amerisafe, Inc.",Financial,Property & Casualty Insurance,WIKI/AMSF,stocks/amsf
AMS,American Shared Hospital Services,Healthcare,Specialized Health Services,NA,stocks/ams
AMSG,AmSurg Corp.,Healthcare,Hospitals,WIKI/AMSG,stocks/amsg
AMSWA,"American Software, Inc.",Technology,Application Software,WIKI/AMSWA,stocks/amswa
AMT,American Tower Corporation,Financial,REIT - Diversified,WIKI/AMT,stocks/amt
AMTD,TD Ameritrade Holding Corporation,Financial,Investment Brokerage - National,WIKI/AMTD,stocks/amtd
AMTG,"Apollo Residential Mortgage, Inc.",Financial,REIT - Residential,NA,stocks/amtg
AMTY,Amerityre Corporation,Consumer Goods,Rubber & Plastics,NA,stocks/amty
AMWD,American Woodmark Corp.,Consumer Goods,Home Furnishings & Fixtures,WIKI/AMWD,stocks/amwd
AN,AutoNation Inc.,Services,Auto Dealerships,WIKI/AN,stocks/an
ANAC,"Anacor Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ANAC,stocks/anac
AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,WIKI/AMZN,stocks/amzn
ANAD,"Anadigics, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ANAD,stocks/anad
ANAT,American National Insurance Co.,Financial,Property & Casualty Insurance,WIKI/ANAT,stocks/anat
ANCB,Anchor Bancorp,Financial,Savings & Loans,NA,stocks/ancb
ANCX,Access National Corporation,Financial,Regional - Mid-Atlantic Banks,WIKI/ANCX,stocks/ancx
ANDA,"Tecnoglass, Inc.",,,NA,NA
ANDAU,Andina Acquisition Corporation,,,NA,NA
ANDAW,Andina Acquisition Corporation,,,NA,NA
ANEN,"Anaren, Inc.",,,NA,stocks/anen
ANGI,"Angie's List, Inc.",Technology,Internet Software & Services,WIKI/ANGI,stocks/angi
ANF,Abercrombie & Fitch Co.,Services,Apparel Stores,WIKI/ANF,stocks/anf
ANGO,AngioDynamics Inc.,Healthcare,Medical Instruments & Supplies,WIKI/ANGO,stocks/ango
ANIK,Anika Therapeutics Inc.,Healthcare,Biotechnology,WIKI/ANIK,stocks/anik
ANLY,Analysts International Corp.,,,NA,stocks/anly
ANDE,"The Andersons, Inc.",Consumer Goods,Farm Products,WIKI/ANDE,stocks/ande
ANN,ANN INC.,Services,Apparel Stores,WIKI/ANN,stocks/ann
ANH,Anworth Mortgage Asset Corporation,Financial,REIT - Diversified,NA,NA
ANR,"Alpha Natural Resources, Inc.",Basic Materials,Industrial Metals & Minerals,WIKI/ANR,stocks/anr
ANSS,"Ansys, Inc.",Technology,Application Software,WIKI/ANSS,stocks/anss
ANTH,"Anthera Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,NA,stocks/anth
ANTP,PHAZAR CORP,,,NA,stocks/antp
ANV,Allied Nevada Gold Corp.,Basic Materials,Gold,WIKI/ANV,stocks/anv
AOL,AOL Inc.,Technology,Internet Information Providers,WIKI/AOL,stocks/aol
AOS,AO Smith Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AOS,stocks/aos
AOSL,"Alpha & Omega Semiconductor, Ltd.",Technology,Semiconductor - Specialized,WIKI/AOSL,stocks/aosl
AP,Ampco-Pittsburgh Corp.,Industrial Goods,Diversified Machinery,WIKI/AP,stocks/ap
APA,Apache Corp.,Basic Materials,Independent Oil & Gas,WIKI/APA,stocks/apa
APAGF,Apco Oil & Gas International Inc.,Basic Materials,Independent Oil & Gas,WIKI/APAGF,stocks/apagf
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,WIKI/APAM,stocks/apam
APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,WIKI/APC,stocks/apc
APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals - Major Diversified,WIKI/APD,stocks/apd
APEI,"American Public Education, Inc.",Services,Education & Training Services,WIKI/APEI,stocks/apei
APFC,American Pacific Corporation,,,NA,stocks/apfc
APH,Amphenol Corporation,Technology,Diversified Electronics,WIKI/APH,stocks/aph
API,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits,NA,stocks/api
APO,"Apollo Global Management, LLC",Financial,Diversified Investments,NA,stocks/apo
APOG,"Apogee Enterprises, Inc.",Industrial Goods,General Building Materials,WIKI/APOG,stocks/apog
APL,"Atlas Pipeline Partners, L.P.",Basic Materials,Oil & Gas Pipelines,NA,stocks/apl
APP,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,WIKI/APP,stocks/app
APOL,"Apollo Education Group, Inc.",Services,Education & Training Services,WIKI/APOL,stocks/apol
APPY,"Venaxis, Inc.",Healthcare,Diagnostic Substances,NA,stocks/appy
APRI,"Apricus Biosciences, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/apri
APU,AmeriGas Partners LP,Utilities,Gas Utilities,NA,stocks/apu
APT,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment,NA,stocks/apt
ARAY,Accuray Incorporated,Healthcare,Medical Appliances & Equipment,WIKI/ARAY,stocks/aray
ARCI,Appliance Recycling Centers of America Inc.,Services,Electronics Stores,NA,stocks/arci
AOI,"Alliance One International, Inc.",Consumer Goods,"Tobacco Products, Other",WIKI/AOI,stocks/aoi
ANCI,"American Caresource Holdings, Inc.",Healthcare,Specialized Health Services,NA,stocks/anci
ARCP,"American Realty Capital Properties, Inc.",Financial,REIT - Diversified,NA,NA
ARCW,"ARC Group Worldwide, Inc.",Industrial Goods,Metal Fabrication,NA,stocks/arcw
ARDM,Aradigm Corporation,Healthcare,Drug Delivery,NA,stocks/ardm
ARDNA,Arden Group Inc.,,,NA,stocks/ardna
AREX,"Approach Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/AREX,stocks/arex
ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified,NA,stocks/ari
ARII,"American Railcar Industries, Inc.",Services,Railroads,WIKI/ARII,stocks/arii
ARKR,Ark Restaurants Corp.,Services,Restaurants,NA,stocks/arkr
ARL,American Realty Investors Inc.,Financial,Property Management,NA,NA
ARLP,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals,NA,stocks/arlp
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ARNA,stocks/arna
AQQ,American Spectrum Realty Inc.,Financial,Property Management,NA,NA
AROW,Arrow Financial Corporation,Financial,Regional - Northeast Banks,WIKI/AROW,stocks/arow
ARP,"Atlas Resource Partners, L.P.",Basic Materials,Independent Oil & Gas,NA,stocks/arp
ARQL,ArQule Inc.,Healthcare,Biotechnology,WIKI/ARQL,stocks/arql
ARR,"ARMOUR Residential REIT, Inc.",Financial,REIT - Residential,NA,NA
ARRS,"ARRIS Group, Inc.",Technology,Communication Equipment,WIKI/ARRS,stocks/arrs
ARRY,"Array BioPharma, Inc.",Healthcare,Biotechnology,WIKI/ARRY,stocks/arry
ARTC,ArthroCare Corporation,Healthcare,Medical Appliances & Equipment,WIKI/ARTC,stocks/artc
ARTNA,Artesian Resources Corp.,Utilities,Water Utilities,WIKI/ARTNA,stocks/artna
ARTW,Art's-Way Manufacturing Co. Inc.,Industrial Goods,Farm & Construction Machinery,NA,stocks/artw
ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office,NA,stocks/are
ARTX,Arotech Corporation,Industrial Goods,Industrial Electrical Equipment,NA,stocks/artx
ARUN,"Aruba Networks, Inc.",Technology,Networking & Communication Devices,WIKI/ARUN,stocks/arun
ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale,WIKI/ARW,stocks/arw
ARWR,Arrowhead Research Corp.,Healthcare,Biotechnology,NA,stocks/arwr
ASBB,"ASB Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,NA,stocks/asbb
ASBC,Associated Banc-Corp,Financial,Regional - Midwest Banks,WIKI/ASBC,stocks/asbc
ASBCW,Associated Banc-Corp,,,NA,NA
ARSD,Arabian American Development Company,Basic Materials,Chemicals - Major Diversified,WIKI/ARSD,stocks/arsd
ASBI,Ameriana Bancorp,Financial,Savings & Loans,NA,stocks/asbi
ASCA,Ameristar Casinos Inc.,,,NA,stocks/asca
ASCMA,"Ascent Capital Group, Inc.",Services,Security & Protection Services,WIKI/ASCMA,stocks/ascma
ASEI,American Science & Engineering Inc.,Services,Security & Protection Services,WIKI/ASEI,stocks/asei
ARG,"Airgas, Inc.",Basic Materials,Chemicals - Major Diversified,WIKI/ARG,stocks/arg
ARX,Aeroflex Holding Corp.,Technology,Semiconductor - Integrated Circuits,WIKI/ARX,stocks/arx
ASH,Ashland Inc.,Basic Materials,Chemicals - Major Diversified,WIKI/ASH,stocks/ash
ASIA,"AsiaInfo-Linkage, Inc.",Technology,Security Software & Services,NA,stocks/asia
ASNA,Ascena Retail Group Inc.,Services,Apparel Stores,WIKI/ASNA,stocks/asna
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,NA,stocks/asps
ASTC,Astrotech Corp.,Industrial Goods,Aerospace/Defense Products & Services,NA,stocks/astc
ASTE,"Astec Industries, Inc.",Industrial Goods,Farm & Construction Machinery,WIKI/ASTE,stocks/aste
ASTI,"Ascent Solar Technologies, Inc.",Technology,Semiconductor - Specialized,NA,stocks/asti
ASRV,"AmeriServ Financial, Inc.",Financial,Regional - Northeast Banks,NA,stocks/asrv
ASUR,"Asure Software, Inc.",Technology,Business Software & Services,NA,stocks/asur
ASYS,Amtech Systems Inc.,Technology,Semiconductor Equipment & Materials,NA,stocks/asys
ATEA,Astea International Inc.,Technology,Application Software,NA,stocks/atea
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Instruments & Supplies,WIKI/ATEC,stocks/atec
ATHN,"athenahealth, Inc.",Technology,Healthcare Information Services,WIKI/ATHN,stocks/athn
ATHX,"Athersys, Inc.",Healthcare,Biotechnology,NA,stocks/athx
ATK,Alliant Techsystems Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/ATK,stocks/atk
ATI,Allegheny Technologies Inc.,Industrial Goods,Metal Fabrication,WIKI/ATI,stocks/ati
ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,NA,stocks/atlc
ATMI,ATMI Inc.,Technology,Semiconductor Equipment & Materials,WIKI/ATMI,stocks/atmi
ATML,Atmel Corporation,Technology,Semiconductor - Broad Line,WIKI/ATML,stocks/atml
